gene,Kidney_T0-1.counts.rev.txt,Kidney_T0-2.counts.rev.txt,Kidney_T12.counts.rev.txt,Kidney_T24.counts.rev.txt,Kidney_T48.counts.rev.txt
GPR4,134.6510767,80.7767455,541.6026424,389.3623845,300.7195861
GPR45,10.77208614,7.45631497,8.017144378,12.41702365,2.863996058
GPR50,0,0,0,0,0
GPR52,5.386043068,8.699034131,6.235556738,5.321581565,7.637322821
GPR55,20.46696366,27.33982155,2.672381459,4.434651304,0
GPR61,0,0,0,0,0
GPR62,2.154417227,3.728157485,1.78158764,0,1.909330705
GPR63,90.48552354,69.59227305,131.8374853,94.9015379,126.0158265
GPR68,59.24647375,74.5631497,122.9295471,94.01460764,63.96257862
GPR75,28.00742395,19.88350659,9.798732018,27.49483808,37.23194875
GPR82,15.08092059,16.1553491,17.8158764,31.04255913,39.14127946
GPR83,2.154417227,1.242719162,0,2.660790782,2.863996058
GPR85,60.32368236,55.92236227,10.68952584,31.92948939,35.32261805
GPR87,0,0,0,0,0
GPR88,24.77579811,29.82525988,0.89079382,0.886930261,3.81866141
GPRASP1,2.154417227,4.970876646,3.563175279,0.886930261,1.909330705
GPRASP2,1389.599111,1209.165744,573.6712199,651.8937417,727.4549987
GPRC5A,142.191537,164.0389293,2851.431017,1435.940092,926.025392
GPRC5B,3196.077956,2847.069599,5173.730505,5253.287935,6066.898316
GPRC5C,9963.102467,10966.9966,6474.289482,5969.040655,6181.458158
GPRC5D,89.40831493,93.20393712,122.9295471,230.6018678,191.8877359
GPRC6A,452.4276177,334.2914545,57.01080447,347.6766622,536.5219282
GPRIN1,11.84929475,9.941753293,41.86730953,59.42432747,86.87454709
GPRIN2,10.77208614,18.64078742,11.58031966,8.869302608,4.773326763
GPRL15,7.540460295,13.66991078,3.563175279,3.547721043,5.727992116
GPS1,4356.231633,5226.876794,3484.785423,4365.470744,3811.978753
GPS2,1606.118043,1877.748653,1644.405391,1428.84465,1364.216789
GPSM1,247.7579811,210.0195383,660.9690143,478.0554106,554.6605699
